,date,cell_num,nr_people,hours,minutes
45436,2017-04-18,493-1264,20.0,3.0,15.0
45657,2017-04-18,493-1264,20.0,3.0,30.0
45878,2017-04-18,493-1264,19.0,3.0,45.0
46099,2017-04-18,493-1264,19.0,4.0,0.0
46320,2017-04-18,493-1264,19.0,4.0,15.0
46541,2017-04-18,493-1264,19.0,4.0,30.0
46762,2017-04-18,493-1264,20.0,4.0,45.0
46983,2017-04-18,493-1264,20.0,5.0,0.0
47204,2017-04-18,493-1264,22.0,5.0,15.0
47425,2017-04-18,493-1264,22.0,5.0,30.0
47646,2017-04-18,493-1264,22.0,5.0,45.0
47867,2017-04-18,493-1264,22.0,6.0,0.0
48088,2017-04-18,493-1264,22.0,6.0,15.0
48309,2017-04-18,493-1264,22.0,6.0,30.0
48530,2017-04-18,493-1264,22.0,6.0,45.0
48751,2017-04-18,493-1264,23.0,7.0,0.0
48972,2017-04-18,493-1264,23.0,7.0,15.0
49193,2017-04-18,493-1264,23.0,7.0,30.0
49414,2017-04-18,493-1264,24.0,7.0,45.0
49635,2017-04-18,493-1264,25.0,8.0,0.0
49856,2017-04-18,493-1264,25.0,8.0,15.0
50077,2017-04-18,493-1264,25.0,8.0,30.0
50298,2017-04-18,493-1264,27.0,8.0,45.0
50519,2017-04-18,493-1264,27.0,9.0,0.0
50740,2017-04-18,493-1264,29.0,9.0,15.0
50961,2017-04-18,493-1264,29.0,9.0,30.0
51182,2017-04-18,493-1264,30.0,9.0,45.0
51403,2017-04-18,493-1264,32.0,10.0,0.0
51624,2017-04-18,493-1264,32.0,10.0,15.0
51845,2017-04-18,493-1264,31.0,10.0,30.0
52066,2017-04-18,493-1264,32.0,10.0,45.0
52287,2017-04-18,493-1264,32.0,11.0,0.0
52508,2017-04-18,493-1264,32.0,11.0,15.0
52729,2017-04-18,493-1264,33.0,11.0,30.0
52950,2017-04-18,493-1264,32.0,11.0,45.0
53171,2017-04-18,493-1264,33.0,12.0,0.0
53392,2017-04-18,493-1264,33.0,12.0,15.0
53613,2017-04-18,493-1264,33.0,12.0,30.0
53834,2017-04-18,493-1264,33.0,12.0,45.0
54055,2017-04-18,493-1264,33.0,13.0,0.0
54276,2017-04-18,493-1264,33.0,13.0,15.0
54497,2017-04-18,493-1264,33.0,13.0,30.0
54718,2017-04-18,493-1264,35.0,13.0,45.0
54939,2017-04-18,493-1264,34.0,14.0,0.0
55160,2017-04-18,493-1264,36.0,14.0,15.0
55381,2017-04-18,493-1264,36.0,14.0,30.0
55602,2017-04-18,493-1264,37.0,14.0,45.0
55823,2017-04-18,493-1264,37.0,15.0,0.0
56044,2017-04-18,493-1264,37.0,15.0,15.0
56265,2017-04-18,493-1264,37.0,15.0,30.0
56486,2017-04-18,493-1264,37.0,15.0,45.0
56707,2017-04-18,493-1264,37.0,16.0,0.0
56928,2017-04-18,493-1264,39.0,16.0,15.0
57149,2017-04-18,493-1264,38.0,16.0,30.0
57370,2017-04-18,493-1264,38.0,16.0,45.0
57591,2017-04-18,493-1264,39.0,17.0,0.0
57812,2017-04-18,493-1264,40.0,17.0,15.0
58033,2017-04-18,493-1264,40.0,17.0,30.0
58254,2017-04-18,493-1264,40.0,17.0,45.0
58475,2017-04-18,493-1264,40.0,18.0,0.0
58696,2017-04-18,493-1264,33.0,18.0,15.0
58917,2017-04-18,493-1264,33.0,18.0,30.0
59138,2017-04-18,493-1264,32.0,18.0,45.0
59359,2017-04-18,493-1264,32.0,19.0,0.0
59580,2017-04-18,493-1264,30.0,19.0,15.0
59801,2017-04-18,493-1264,30.0,19.0,30.0
60022,2017-04-18,493-1264,30.0,19.0,45.0
60243,2017-04-18,493-1264,29.0,20.0,0.0
60464,2017-04-18,493-1264,28.0,20.0,15.0
60685,2017-04-18,493-1264,27.0,20.0,30.0
60906,2017-04-18,493-1264,27.0,20.0,45.0
61127,2017-04-18,493-1264,27.0,21.0,0.0
61348,2017-04-18,493-1264,26.0,21.0,15.0
61569,2017-04-18,493-1264,26.0,21.0,30.0
61790,2017-04-18,493-1264,26.0,21.0,45.0
62011,2017-04-18,493-1264,26.0,22.0,0.0
62232,2017-04-18,493-1264,25.0,22.0,15.0
62453,2017-04-18,493-1264,26.0,22.0,30.0
62674,2017-04-18,493-1264,25.0,22.0,45.0
62895,2017-04-18,493-1264,25.0,23.0,0.0
63116,2017-04-18,493-1264,26.0,23.0,15.0
63337,2017-04-18,493-1264,25.0,23.0,30.0
63558,2017-04-18,493-1264,25.0,23.0,45.0
63779,2017-04-19,493-1264,25.0,0.0,0.0
64000,2017-04-19,493-1264,25.0,0.0,15.0
64221,2017-04-19,493-1264,24.0,0.0,30.0
64442,2017-04-19,493-1264,23.0,0.0,45.0
64663,2017-04-19,493-1264,23.0,1.0,0.0
64884,2017-04-19,493-1264,23.0,1.0,15.0
65105,2017-04-19,493-1264,22.0,1.0,30.0
65326,2017-04-19,493-1264,22.0,1.0,45.0
65547,2017-04-19,493-1264,22.0,2.0,0.0
65768,2017-04-19,493-1264,22.0,2.0,15.0
65989,2017-04-19,493-1264,21.0,2.0,30.0
66210,2017-04-19,493-1264,21.0,2.0,45.0
